"","Year","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1",1980,1.17666666666667,0.0744444444444444,0,0.0133333333333333,1.26444444444444
"2",1981,0.726086956521739,0.0426086956521739,0,0.00695652173913043,0.777608695652174
"3",1982,0.747777777777778,0.0458333333333333,0,0.00861111111111111,0.801666666666667
"4",1983,0.456470588235294,0.0470588235294118,0.476470588235294,0.00823529411764706,0.987647058823529
"5",1984,2.37714285714286,0.15,1.01928571428571,0.05,3.59714285714286
"6",1985,2.40928571428571,0.338571428571429,1.04,0.0657142857142857,3.85285714285714
"7",1986,0.595238095238095,0.135238095238095,0.943333333333333,0.0919047619047619,1.7652380952381
"8",1987,0.52875,0.088125,0.726875,0.0125,1.35875
"9",1988,1.59133333333333,0.439333333333333,1.05066666666667,0.066,3.148
"10",1989,2.65588235294118,0.496470588235294,1.08,0.0882352941176471,4.32058823529412
"11",1990,1.59125,0.476875,0.93,0.0875,3.086875
"12",1991,0.311219512195122,0.0963414634146341,0.360487804878049,0.0180487804878049,0.78609756097561
"13",1992,0.787674418604651,0.272325581395349,0.672325581395349,0.0383720930232558,1.77116279069767
"14",1993,0.252,0.0775,0.422166666666667,0.0148333333333333,0.766333333333333
"15",1994,0.232644628099174,0.12297520661157,0.280909090909091,0.0181818181818182,0.654297520661157
"16",1995,0.113333333333333,0.0680365296803654,0.208904109589041,0.0120547945205479,0.402328767123288
"17",1996,0.329885931558936,0.179695817490494,0.218403041825095,0.0292395437262357,0.75722433460076
"18",1997,0.327854671280277,0.16719723183391,0.169100346020761,0.0315916955017301,0.695432525951557
"19",1998,0.338680738786279,0.176517150395778,0.13203166226913,0.0291029023746702,0.676701846965699
"20",1999,0.372958579881657,0.185414201183432,0.154852071005918,0.0297337278106509,0.743402366863905
"21",2000,0.270744985673352,0.151146131805158,0.122550143266475,0.0332951289398281,0.577535816618912
"22",2001,0.360954356846473,0.196867219917013,0.082697095435685,0.0472199170124481,0.687697095435685
"23",2002,0.260784077201447,0.132376357056695,0.0503739445114595,0.032907117008444,0.477104945717733
"24",2003,0.249793548387096,0.133948387096775,0.0441290322580642,0.0335612903225807,0.461741935483871
"25",2004,0.29173001310616,0.140655307994758,0.0545871559633023,0.0619790301441679,0.549554390563565
"26",2005,0.257821466524973,0.129585547290117,0.0576833156216783,0.0431243358129648,0.488777895855473
"27",2006,0.261031746031746,0.128214285714286,0.0731448412698409,0.0539980158730158,0.516904761904762
"28",2007,0.259608985024958,0.133527454242929,0.0501580698835279,0.0645590682196341,0.50842762063228
"29",2008,0.246106442577031,0.129131652661065,0.04219887955182,0.0576960784313728,0.475420168067227
"30",2009,0.236792452830188,0.133885394828791,0.0432494758909856,0.0522501747030046,0.466317260656884
"31",2010,0.241652104845116,0.140373312152501,0.0472517871326452,0.0475774424146145,0.476926131850675
"32",2011,0.211641791044776,0.147006145741879,0.0465671641791045,0.0477524143985952,0.453020193151887
"33",2012,0.2358599695586,0.180791476407915,0.0787519025875188,0.0575646879756468,0.553333333333333
"34",2013,0.283461538461539,0.23040293040293,0.0871611721611723,0.0729304029304028,0.674194139194139
"35",2014,0.226752577319588,0.215893470790378,0.0678006872852231,0.0687628865979383,0.579123711340206
"36",2015,0.167459283387622,0.15913680781759,0.0549185667752443,0.0488762214983713,0.430684039087948
"37",2016,0.0658720930232559,0.0777906976744187,0.0398255813953489,0.0225290697674419,0.206191860465116
"38",2017,0,0,0.0166666666666667,0,0.0166666666666667
"39",2020,0.27,0,0,0.02,0.29
"40",NA,0.219630996309963,0.0922878228782288,0.0247970479704797,0.0322509225092251,0.36929889298893
